year,manufacturer,player,series,card_number,description,category,parallel,image
1993,Upper Deck,Brian Harper,SP,246,,Telephone,,1993-upper-deck-brian-harper.jpg
1996,Donruss,Brett Butler,,191,,Telephone,,1996-donruss-brett-butler.jpg
1995,Pinnacle,Ken Griffey Jr,,128,,Bubble Gum,,1995-pinnacle-ken-griffey-jr.jpg
1976,Topps,Kurt Bevacqua,,564,,Bubble Gum,,1976-topps-kurt-bevacqua.jpg
2018,Topps,Manny Machado,Series 1,25,,Bubble Gum,,2018-topps-manny-machado.jpg
1995,Score,Rich Rowland,,62,,Bubble Gum,,1995-score-rich-rowland.jpg
2017,Topps,Eugenio Suarez,Series 2,473,,Bubble Gum,,2017-topps-eugenio-suarez.jpg
2016,Stadium Club,Nelson Cruz,,201,,Bubble Gum,,2016-stadium-club-nelson-cruz.jpg
2017,Stadium Club,Justin Upton,,189,,Bubble Gum,,2017-stadium-club-justin-upton.jpg
2017,Stadium Club,Billy Wagner,,102,,Bubble Gum,,2017-stadium-club-billy-wagner.jpg
1993,Topps,Tim Costo,,577,,Bubble Gum,,1993-topps-tim-costo.jpg
2016,Stadium Club,Adam Eaton,,96,,Bubble Gum,,2016-stadium-club-adam-eaton.jpg
2017,Stadium Club,Brandon Phillips,,32,,Bubble Gum,,2017-stadium-club-brandon-phillips.jpg
1997,Fleer,Brian Giles,,78,,Bubble Gum,,1997-fleer-brian-giles.jpg
1991,Upper Deck,Oddibe McDowell,,497,,Bubble Gum,,1991-upper-deck-oddibe-mcdowell.jpg
1993,Upper Deck,Duane Ward,,339,,Bubble Gum,,1993-upper-deck-duane-ward.jpg
1991,Upper Deck,Darryl Hamilton,,42,,Bubble Gum,,1991-upper-deck-darryl-hamilton.jpg
2009,Topps,Alex Gordon,Allen & Ginter's,91,,Bubble Gum,,2009-topps-alex-gordon.jpg
1993,Topps,Darryl Hamilton,,556,,Bubble Gum,,1993-topps-darryl-hamilton.jpg
1989,Upper Deck,Randy St. Claire,,29,,Bubble Gum,,1989-upper-deck-randy-st-claire.jpg
1989,Upper Deck,Fred Toliver,,64,,Bubble Gum,,1989-upper-deck-fred-toliver.jpg
2018,Topps,Salvador Perez,Big League,96,,Bubble Gum,,2018-topps-salvdor-perez.jpg
2005,Donruss,Carlos Zambrano,,130,,Bubble Gum,,2005-donruss-carlos-zambrano.jpg
2005,Topps,Sean Casey,,182,,Bubble Gum,,2005-topps-sean-casey.jpg
1996,Leaf,Ozzie Smith,,31,,Bubble Gum,,1996-leaf-ozzie-smith.jpg
1989,Upper Deck,Steve Finley,,742,,Bubble Gum,,1989-upper-deck-steve-finley.jpg
1994,Upper Deck,Archi Cianfrocco,,772,,Bubble Gum,,1992-upper-deck-archi-cianfrocco.jpg
2009,Topps,Clint Hurdle,,497,,Bubble Gum,,2009-topps-clint-hurdle.jpg
2018,Topps,Cameron Rupp,Series 1,308,,Bubble Gum,,2018-topps-cameron-rupp.jpg
1998,Upper Deck,Jimmy Key,,42,,Bubble Gum,,1998-upper-deck-jimmy-key.jpg
1997,Score,Bobby Bonilla,,347,,Bubble Gum,,1997-score-bobby-bonilla.jpg
1990,Upper Deck,Mike Felder,,178,,Bubble Gum,,1990-upper-deck-mike-felder.jpg
1996,Donruss,George Williams,,485,,Bubble Gum,,1996-donruss-george-williams.jpg
1992,Classic,Gary Carabello,Best,176,,Bubble Gum,,1992-classic-gary-carabello.jpg
1992,Leaf,Ken Griffey Jr,,232,,Bubble Gum,,1992-leaf-ken-griffey-jr.jpg
1992,Upper Deck,Mark Wohlers,,56,,Bubble Gum,,1992-upper-deck-mark-wohlers.jpg
2000,Upper Deck,Gabe Kapler,,109,,Bubble Gum,,2000-upper-deck-gabe-kapler.jpg
1992,Upper Deck,Bill Swift,,620,,Bubble Gum,,1992-upper-deck-bill-swift.jpg
1995,Pinnacle,Albie Lopez,,442,,Bubble Gum,,1995-pinnacle-albie-lopez.jpg
1995,Pinnacle,Darren Oliver,,262,,Bubble Gum,,1995-pinnacle-darren-oliver.jpg
1996,Upper Deck,Al Martin,Collector's Choice,682,,Tagged Out,,1996-upper-deck-al-martin.jpg
2018,Topps,Trevor Story,GQ,65,,Bubble Gum,,2018-topps-trever-story.jpg
2018,Topps,Starlin Castro,GQ,117,,Bubble Gum,,2018-topps-starlin-castro.jpg
1992,Leaf,Harold Baines,Donruss Triple Play,34,,Bubble Gum,,1992-donruss-harold-baines.jpg
2018,Donruss,Xander Bogaerts,,67,,Bubble Gum,,2018-donruss-xander-bogaerts.jpg
1997,Upper Deck,Vinny Castilla,Rookies,79,,Bubble Gum,,1997-upper-deck-vinny-castilla.jpg
1996,Pinnacle,Hideo Nomo,,131,,Bubble Gum,,1996-pinnacle-hideo-nomo.jpg
1999,Topps,Matt Mantei,,T111,,Bubble Gum,,1999-topps-matt-mantei.jpg
2017,Topps,Johnny Cueto,,245,,Bubble Gum,,2017-topps-johnny-cueto.jpg
2017,Topps,Robinson Cano,Chrome,HMT83,,Bubble Gum,,2017-topps-robinson-cano.jpg
1992,Upper Deck,Mike Remlinger,,585,,Bubble Gum,,1992-upper-deck-mike-remlinger.jpg
1998,Northern Lights,TJ Wiesner,,,Bullpen coach,Bubble Gum,,1998-northern-lights-tj-wiesner.jpg
1997,Fleer Ultra,Ugueth Urbina,Gold Medallion Edition,G234,,Bubble Gum,,1997-fleer-ugueth-urbina.jpg
1998,Fleer Tradition,Marty Cordova,,479,,Bubble Gum,,1998-fleer-marty-cordova.jpg
1998,Pinnacle Inside,Bobby Higginson,,4,,Bubble Gum,,1998-pinnacle-bobby-higginson.jpg
1998,Pinnacle Inside,Roberto Alomar,,12,,Bubble Gum,,1998-pinnacle-roberto-alomar.jpg
1997,Pinnacle Inside,Javv Lopez,,82,,Bubble Gum,,1997-pinnacle-javy-lopez.jpg
2019,Topps,Ehire Adrianza,,110,,Bubble Gum,,2019-topps-ehire-adrianza.jpg
2019,Topps,Salvador Perez,,93,,Bubble Gum,Gold,2019-topps-salvador-perez.jpg
1994,Upper Deck,Calvin Murray,Top Prospects,140,,Bubble Gum,,1994-upper-deck-calvin-murray.jpg
1982,Fleer,Steve Nicosia,,488,,Bubble Gum,,1982-fleer-steve-nicosia.jpg
1997,Upper Deck,Eric Davies,,39,,Bubble Gum,,1997-upper-deck-eric-davies.jpg
2019,Topps,Eugenio Suarez,,262,,Bubble Gum,,2019-topps-eugenio-suarez.jpg
1991,Topps,Al Newman,Stadium Club,146,,Bubble Gum,,1991-stadium-club-al-newman.jpg
2019,Topps,Garcia Avisail,Series 1,264,,Bubble Gum,,2019-topps-avisail-garcia.jpg
2020,Topps,Christin Stewart,Series 1,23,,Bubble Gum,,2020-topps-christin-stewart.jpg
1993,Upper Deck,Travis Baptist,Top Prospects,71,,Bubble Gum,,1993-upper-deck-travis-baptist.jpg
2019,Topps,Myles Straw,35 Anniversary,84R-MS,,Bubble Gum,,2019-topps-myles-straw.jpg
2002,Fleer,Gabe Kapler,Platinum,86,,Bubble Gum,,2002-fleer-gabe-kapler.jpg
1996,Fleer Ultra,Steve Finley,,557,,Bubble Gum,,1996-fleer-steve-finley.jpg
1992,Upper Deck,Paul Gibson,,489,,Bubble Gum,,1992-upper-deck-paul-gibson.jpg
1982,Fleer,Jeff Jones,,94,,Bubble Gum,,1982-fleer-jeff-jones.jpg
1982,Fleer,Brad Mills,,196,,Bubble Gum,,1982-fleer-brad-mills.jpg
1994,Topps,Bo Jackson,Stadium Club,547,,Bubble Gum,,1994-stadium-club-bo-jackson.jpg
1997,Topps,Will Clark,Topps Finest,44,,Bubble Gum,,1997-topps-finest-will-clark.jpg
1996,Fleer,Frank Thomas,,77,,Bubble Gum,,1996-fleer-frank-thomas.jpg
2021,Topps,Javier Baez,,T92-13,,Bubble Gum,,2021-topps-update-javier-baez.jpg
1991,Leaf,Jeff Kunkel,Studio,126,,Bubble Gum,,1991-leaf-jeff-kunkel.jpg
1996,Upper Deck,Royce Clayton,Collector's Choice,787,,Bubble Gum,,1996-upper-deck-royce-clayton.jpg
1996,Upper Deck,Dennis Martinez,,314,,Bubble Gum,Hologram,1996-upper-deck-dennis-martinez.jpg
1997,Pinnacle,Jeff Cirillo,,101,,Bubble Gum,,1997-pinnacle-jeff-cirillo.jpg
2002,Fleer Ultra,Larry Barnes,,145,,Bubble Gum,,2002-fleer-larry-barnes.jpg
1999,Fleer Tradition,Turner Ward,,547,,Bubble Gum,,1999-fleer-turner-ward.jpg
1997,Upper Deck,Geronimo Berroa,Collector's Choice,185,,Bubble Gum,,1997-upper-deck-geronimo-berroa.jpg
1998,Fleer Tradition,Carl Pavano,,U56,,Bubble Gum,,1998-fleer-carl-pavano.jpg
1994,Upper Deck,Mark Lemke,Collector's Choice,501,,Tying Shoes,,1994-upper-deck-mark-lemke.jpg
2006,Upper Deck,Rondell White,,694,DNT4,Tying Shoes,,2006-upper-deck-rondell-white.jpg
1994,Select,Tim Belcher,,248,,Tying Shoes,,1994-select-tim-belcher.jpg
1994,Pinnacle,Pat Meares,,304,,Fly Ball,,1994-pinnacle-pat-meares.jpg
1982,The Chicken Co,The Chicken,,531,,The Famous Chicken,,1982-the-chicken.jpg
1983,Donruss,The Chicken,,645,,The Famous Chicken,,1983-donruss-chicken.jpg
1984,The Chicken Co,The Chicken,,651,,The Famous Chicken,,1984-donruss-the-chicken.jpg
1992,Leaf,The Chicken,Donruss Triple Play,138,,The Famous Chicken,,1992-leaf-the-chicken.jpg
2018,Panini,The Chicken,Donruss,221,,The Famous Chicken,,2018-panini-the-chicken.jpg
2016,Panini,The Chicken,Donruss Optic,165,,The Famous Chicken,,2016-donruss-the-chicken.jpg
2022,Donruss,The Chicken,,FSDC-TG,,The Famous Chicken,,2022-donruss-the-chicken.jpg
2021,Donruss,The Chicken,,CHICKEN-87,,The Famous Chicken,,2021-donruss-the-chicken.jpg
1992,Upper Deck,Cecil Fielder,,255,,The Famous Chicken,,1992-upper-deck-cecil-fielder.jpg
1994,Upper Deck,Bill Swift,Collector's Choice,110,,Camera,,1995-upper-deck-bill-swift.jpg
1993,Upper Deck,Doug Jones,,171,,Camera,,1993-upper-deck-doug-jones.jpg
1997,Score,John Smiley,,388,,Camera,,1997-score-john-smiley.jpg
1992,Score,Randy Johnson,Pinnacle Sidelines,595,,Camera,,1992-pinnacle-randy-johnson.jpg
1992,Upper Deck,Billy Ripken,,250,,Camera,,1992-upper-deck-billy-ripken.jpg
1996,Score,Mark Leiter,,459,,Camera,,1996-score-mark-leiter.jpg
1994,Upper Deck,Roger McDowell,Collector's Choice,196,,Camera,,1994-upper-deck-roger-mcdowell.jpg
1999,Fleer Tradition,Steve Parris,,383W,,Camera,,1999-fleer-steve-parris.jpg
1997,Donruss,Reggie Sanders,,100,,Camera,,1997-donruss-reggie-sanders.jpg
1996,Score,Julian Tavarez,,312,,Camera,,1996-score-julian-tavarez.jpg
1994,Upper Deck,Andy van Slyke,,83,,Camera,,1994-upper-deck-andy-van-slyke.jpg
1997,Score,Chuck McElroy,,12,,Camera,,1997-score-chuck-mcelroy.jpg
1997,Upper Deck,Jason Isringhausen,,433,,Camera,,1997-upper-deck-jason-isringhausen.jpg
1997,Upper Deck,Larry Walker,Collector's Choice,98,,Camera,,1997-upper-deck-larry-walker.jpg
1997,Fleer Ultra,Jose Valentin,,83,,Camera,,1997-fleer-jose-valentin.jpg
1993,Topps,Rick Wrona,Stadium Club,64,,Camera,,1993-stadium-club-rick-wrona.jpg
1993,Upper Deck,Bernie Williams,,298,,Camera,,1994-upper-deck-bernie-williams.jpg
1991,Upper Deck,Dave Stewart,,127,,Camera,,1991-upper-deck-dave-stewart.jpg
1993,Upper Deck,Omar Vizquel,,301,,Camera,,1993-upper-deck-omar-vizquel.jpg
1998,Upper Deck,Barry Bonds,Collector's Choice,278,,Camera,,1998-upper-deck-barry-bonds.jpg
1992,Upper Deck,Ron Karkovice,,199,,Telephone,,1993-upper-deck-ron-karkovice.jpg
1996,Upper Deck,Dante Bichette,,320,,Telephone,,1996-upper-deck-dante-bichette.jpg
1997,Upper Deck,Johnny Damon,,90,,Telephone,,1997-upper-deck-johnny-damon.jpg
1994,Upper Deck,Manny Lee,,216,,Telephone,,1994-upper-deck-manny-lee.jpg
1994,Upper Deck,Roberto Alomar,,39,,Telephone,,1994-upper-deck-roberto-alomar.jpg
1996,Fleer,Rickey Henderson,,U197,,Telephone,,1996-fleer-rickey-henderson.jpg
1994,Upper Deck,Eddie Pearson,Top Prospects,128,,Telephone,,1994-upper-deck-eddie-pearson.jpg
1999,Upper Deck,Mike Cameron,,64,,Telephone,,1999-upper-deck-mike-cameron.jpg
1994,Upper Deck,Kent Hrbek,,98,,Telephone,,1994-upper-deck-kent-hrbek.jpg
1983,Topps,Vern Ruhle,,172,,Pitching Arms,,1983-topps-vern-ruhle.jpg
1982,Topps,Vern Ruhle,,539,,Pitching Arms,,1982-topps-vern-ruhle.jpg
1991,Topps,Eric Plunk,,786,,Pitching Arms,,1991-topps-eric-plunk.jpg
1984,Topps,Danny Darwin,,377,,Pitching Arms,,1984-topps-danny-darwin.jpg
1985,Topps,Steve Farr,,664,,Pitching Arms,,1985-topps-steve-farr.jpg
1989,Topps,Todd Burns,,174,,Pitching Arms,,1989-topps-todd-burns.jpg
1985,Topps,Mike Moore,,279,,Pitching Arms,,1985-topps-mike-moore.jpg
1983,Topps,Mike Caldwell,,142,,Pitching Arms,,1983-topps-mike-caldwell.jpg
1983,Topps,John Denny,,211,,Pitching Arms,,1983-topps-john-denny.jpg
1979,Topps,Hal Dues,,699,,Pitching Arms,,1979-topps-hal-dues.jpg
1977,Topps,Dan Warthen,,391,,Pitching Arms,,1977-topps-dan-warthen.jpg
1993,Fleer,Don Slaught,Ultra,455,,Catcher Yelling,,1993-fleer-don-slaught.jpg
1995,Upper Deck,Brian Harper,,181,,Catcher Yelling,,1995-upper-deck-brian-harper.jpg
1984,Fleer,Rich Gedman,,398,,Catcher Yelling,,1984-fleer-rich-gedman.jpg
1995,Leaf,Brian Jordan,,64,,Flying Helmet,,1995-leaf-brian-jordan.jpg
1995,Pinnacle,Bob Hamelin,,22,,Flying Helmet,,1995-pinnacle-bob-hamlin.jpg
1992,Score,Pat Listach,Select,273,,Flying Helmet,,1992-score-pat-listach.jpg
1998,Upper Deck,Eric Young,,80,,Flying Helmet,,1998-upper-deck-eric-young.jpg
1994,Leaf,Ozzie Guillen,,107,,Flying Helmet,,1994-pinnacle-ozzie-wilson.jpg
1994,Pinnacle,Nigel Wilson,,240,,Flying Helmet,,1994-pinnacle-nigel-wilson.jpg
1992,Topps,Devon White,,260,,Flying Helmet,,1992-topps-devon-white.jpg
2018,Topps,J.P. Crawford,Stadium Club,45,,Flying Helmet,,2018-stadium-club-jp-crawford.jpg
1988,Score,Mike Young,,393,,Flying Helmet,,1988-score-mike-young.jpg
1997,Topps,Sammy Sosa,,305,,Flying Helmet,,1997-topps-sammy-sosa.jpg
1994,Topps,Mark McLemare,,370,,Flying Helmet,,1994-topps-mark-mclemare.jpg
1993,Donruss,Devon White,,29,,Flying Helmet,,1993-donruss-devon-white.jpg
1994,Pinnacle,Eric Young,,193,,Flying Helmet,,1994-pinnacle-eric-young.jpg
2017,Topps,Jose Altuve,Chrome,664,,Flying Helmet,,2017-topps-jose-altuve.jpg
1993,Leaf,Time Raines,,420,,Flying Helmet,,1993-leaf-tim-raines.jpg
1994,Donruss,Don Mattingly,,121,,Hit By Pitch,,1994-leaf-don-mattingly.jpg
1991,Topps,Milt Thompson,,63,,Hit By Pitch,,1991-topps-milt-thompson.jpg
1991,Score,Oddibe McDowell,,121,,Hit By Pitch,,1991-score-oddibe-mcdowell.jpg
1997,Fleer,Darren Daulton,Sports Illustrated,40,,Hit By Pitch,,1997-fleer-si-darren-daulton.jpg
1992,Leaf,Rickey Henderson,Donruss Triple Play,63,,Hit By Pitch,,1992-leaf-rickey-henderson.jpg
1992,Donruss,Carlos Baerga,,120,,Hit By Pitch,,1992-donruss-carlos-baerga.jpg
1996,Donruss,Tom Pagnozzi,,278,,Hit By Pitch,,1996-donruss-tom-pagnozzi.jpg
1993,Donruss,Joe Oliver,Series 2,586,,Hit By Pitch,,1993-donruss-joe-oliver.jpg
1995,Topps,Chuck Knoblauch,Stadium Club,249,,Hit By Pitch,,1995-stadium-club-chuck-knoblauch.jpg
1995,Pinnacle,Ryan Thompson,,57,,Hit By Pitch,,1995-pinnacle-ryan-thompson.jpg
1991,Fleer,Kelly Gruber,Ultra,361,,Hit By Pitch,,1991-fleer-kelly-gruber.jpg
1987,Classic,Andre Dawson,,124,,Hit By Pitch,,1987-classic-andre-dawson.jpg
2005,Topps,Craig Biggio,Season Highlights,UH111,,Hit By Pitch,,2005-topps-craig-biggio.jpg
1993,Upper Deck,Any Van Slyke,,124,,Hit By Pitch,,1993-upper-deck-andy-van-slyke.jpg
1991,Topps,Rick Parker,,218,,Squat,,1991-topps-rick-parker.jpg
1994,Pinnacle,Luis Aquino,,223,,Squat,,1994-pinnacle-luis-aquino.jpg
1989,Upper Deck,Paul Gibson,,47,,Squat,,1989-upper-deck-paul-gibson.jpg
1992,Upper Deck,Jim Leyritz,,117,,Squat,,1992-upper-deck-jim-leyritz.jpg
1997,Fleer,Mark Gardner,,481,,Squat,,1997-fleer-mark-gardner.jpg
1998,Topps,Ron Gant,Stadium Club,185,,Roids,,1998-stadium-club-ron-gant.jpg
1992,Score,Rickey Henderson,,441,,Roids,,1992-score-rickey-henderson.jpg
1994,Upper Deck,Jose Canseco,,560,,Roids,,1994-upper-deck-jose-canseco.jpg
1995,Pinnacle,Ellis Burks,,54,,Fly Ball,,1995-pinnacle-ellis-burks.jpg
1992,Leaf,Tony Gwynn,Donruss Triple Play,219,,Fly Ball,,1992-donruss-tony-gwynn.jpg
2000,Topps,Miguel Tejada,,187,,Fly Ball,,2000-topps-miguel-tejada.jpg
1991,Leaf,Darrin Jackson,,346,,Fly Ball,,1991-leaf-darrin-jackson.jpg
1999,Fleer,Donnie Sadler,Tradition,549,,Fly Ball,,1999-fleer-dennis-sadler.jpg
1997,Fleer,Luis Gonzalez,,275,,Fly Ball,,1997-fleer-luis-gonzalez.jpg
1997,Fleer,Scott Brosius,Ultra,361,,Fly Ball,,1997-fleer-scott-brosius.jpg
1996,Donruss,Scott Bullett,,331,,Fly Ball,,1996-donruss-scott-bullett.jpg
1992,Leaf,Dave Henderson,Series 1,232,,Fly Ball,,1992-leaf-dave-henderson.jpg
1991,Topps,Tom Brookens,,268,,Bunting,,1991-topps-tom-brookens.jpg
1983,Topps,Mick Kelleher,,79,,Bunting,,1983-topps-mick-kelleher.jpg
1990,Donruss,Willie Wilson,,440,,Bunting,,1990-donruss-willie-wilson.jpg
1984,Topps,Ron Washington,,623,,Bunting,,1984-topps-ron-washington.jpg
1986,Donruss,Chili Davis,,65,,Bunting,,1986-donruss-chili-davis.jpg
1989,Donruss,Bo Jackson,,208,,Bunting,,1989-donruss-bo-jackson.jpg
1983,Topps,Glenn Hubbard,,624,,Bunting,,1983-topps-glenn-hubbard.jpg
1983,Fleer,Glenn Hubbard,,139,,Bunting,,1983-fleer-glenn-hubbard.jpg
2000,Upper Deck,Will Clark,Victory,197,,Crotch Bat,,2000-upper-deck-will-clark.jpg
1993,Upper Deck,Chris Gwynn,,632,,Crotch Bat,,1993-upper-deck-chris-gwynn.jpg
1992,Leaf,Robin Yount,Donruss Triple Play,81,,Crotch Bat,,1992-donruss-robin-yount.jpg
1991,Topps,Bob Melvin,,249,,Bat Chin,,1991-topps-bob-melvin.jpg
1999,Fleer,Jason McDonald,Tradition,490,,Bat Chin,,1999-fleer-jason-mcdonald.jpg
1995,Topps,Damion Easley,Diamond Vision,306,,Bat Chin,,1995-topps-damion-easley.jpg
1994,Score,Alvaro Espinoza,,141,,Bat Chin,,1994-score-alvaro-espinoza.jpg
1991,Fleer,Lance Parrish,,321,,Bat Chin,,1991-fleer-lance-parrish.jpg
1963,Topps,Wally Moon,,279,,Unibrow,,1963-topps-wally-moon.jpg
1958,Topps,Frank Zupo,,229,,Unibrow,,1958-topps-frank-zupo.jpg
2001,Upper Deck,Jack Clark,UD Decade,71,,Unibrow,,2001-upper-deck-jack-clark.jpg
1988,Donruss,Sammy Stewart,,596,,Unibrow,,1988-donruss-sammy-stewart.jpg
1991,Score,Dave Anderson,,641,,Strike!,,1991-score-dave-anderson.jpg
1991,Fleer,Bill Pecota,,565,,Strike!,,1991-fleer-bill-pecota.jpg
1992,Fleer,Andy Stankiewicz,Ultra,415,,Strike!,,1992-fleer-andy-stankiewicz.jpg
1991,Fleer,Chris Sabo,,80,,Strike!,,1991-fleer-chris-sabo.jpg
1989,Score,Jim Eisenreich,,594,,Strike!,,1989-score-jim-eisenreich.jpg
1991,Score,Dave Bergman,,562,,Strike!,,1991-score-dave-bergman.jpg
1992,Fleer,Phil Plantier,Rookie Sensations,19,,Squat,,1992-fleer-phil-plantier.jpg
1992,Donruss,Phil Plantier,,488,,Squat,,1992-donruss-phil-plantier.jpg
1992,Leaf,Alan Tremmell,Studio,179,,Bat Chin,,1992-leaf-alan-trammell.jpg
1991,Leaf,Kevin Mitchell,Studio,257,,Bat Chin,,1991-leaf-kevin-mitchell.jpg
1997,Upper Deck,Ricky Bottalico,Collector's Choice,192,,Roids,,1994-upper-deck-ricky-bottalico.jpg
1991,Leaf,Jose Rijo,Studio,26,,Roids,,1991-leaf-jose-rijo.jpg
1993,Pinnacle,Bob Zupcic,,404,,Hit By Pitch,,1993-pinnacle-bob-zupcic.jpg
1993,Fleer,Lenny Harris,,458,,Squat,,1992-fleer-lenny-harris.jpg
1993,Topps,Kenny Lofton,,331,,Flying Helmet,,1993-topps-kenny-lofton.jpg
1998,Pinnacle,Gregg Jefferies,,151,,Hit By Pitch,,1998-pinnacle-gregg-jefferies.jpg
1997,Upper Deck,Marvin Benard,,217,,Tagged Out,,1997-upper-deck-marvin-benard.jpg
2002,Topps,Steve Cox,,592,,Hit By Pitch,,2002-topps-steve-cox.jpg
1996,Upper Deck,Randy Johnson,,123,,Priceless,,1995-upper-deck-randy-johnson.jpg
1986,Topps,Dick Schofield,,311,,Bunting,,1986-topps-dick-schofield.jpg
1993,Score,Jacob Brumfield,,292,,Hit By Pitch,,1993-score-jacob-brumfield.jpg
1995,Upper Deck,Chuck Carr,,299,,Tagged Out,,1995-upper-deck-chuck-carr.jpg
